Antecedent (If Condition),Consequent (Output)
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Young,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = HIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Mid,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Young,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = VeryHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Low AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,LowRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = Healthy AND BloodPressure = VeryHigh AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = High AND Age = Young,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = NonAnginal AND HbA1c = High AND LDL = XHIgh AND HDL = Healthy AND HeartRate = High AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Young,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = VeryOld,HighRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Old,MediumRisk
ChestPain = Atypical AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = Healthy AND BloodPressure = High AND Age = Mid,MediumRisk
